,source,sink,reactance,limit
63,n_1754,n_28766,12.740056911108226,1147.83
64,n_1834,n_6891,157.41873572605613,41884.84
65,n_1834,n_6177,31.50542928337026,33770.29
66,n_1837,n_1924,4.609936344385479,29798.64
67,n_1837,n_22589,89.07212410383423,4948.81
68,n_1837,n_6893,55.026503240153104,4796.05
69,n_1837,n_6703,31.629263533790226,4626.24
70,n_1837,n_22549,6476.6419906606825,6541.71
71,n_1850,n_1851,100.44700928070097,1312.98
72,n_1850,n_20153,141.03407594826024,1342.31
73,n_1850,n_28509,55.40160987105996,1263.09
74,n_1851,n_13431,285.5290181713523,1405.38
75,n_1918,n_16911,63.44521473984607,1274.29
76,n_1924,n_23766,51.26668442202837,9547.130000000001
77,n_1924,n_28663,5.477901103408688,30135.17
78,n_1924,n_28719,19.411245283795317,4481.51
79,n_1960,n_6422,12.362142027908028,4351.79
80,n_1960,n_6423,14.274578686880648,4392.73
81,n_2042,n_18704,4109.628448491972,1671.82
82,n_2042,n_23859,424.36157983026385,1442.1
83,n_2042,n_22521,225.2502868562403,5256.91
84,n_2042,n_20311,1660.1257711284206,1576.02
85,n_2042,n_2416,93.22688935711578,9898.66
86,n_2050,n_3087,25.213404363527573,4558.46
87,n_2106,n_21118,5530.025272215495,3389.92
88,n_2106,n_30943,3292.690556234216,1647.87
89,n_2106,n_26292,6022.137376997844,1713.93
90,n_2414,n_22427,19.456687565094782,4482.19
91,n_2415,n_6402,135.03247395966258,5084.68
92,n_2415,n_23859,337.70275673514374,5397.34
93,n_2415,n_10054,1213.225615075056,5865.93
94,n_2416,n_2417,84.2057824279205,6079.71
95,n_2416,n_20311,574.9287375829765,5587.57
96,n_2417,n_18867,119.15849318842389,1327.66
97,n_2417,n_28636,36.05567891004548,1228.26
98,n_2418,n_2416,24.306311836320713,4547.6
99,n_2907,n_30301,1353.028009032815,1555.17
100,n_2907,n_28509,231.75669255388922,1386.42
101,n_3087,n_3088,122.71790711972483,5053.13
102,n_3088,n_10123,42.724217440803145,4717.69
103,n_3088,n_23902,41.004416298648614,4705.09
104,n_3484,n_20882,179.20780829925695,1363.4
105,n_3485,n_20883,693.1039621287995,5655.99
106,n_3492,n_20880,373.5216480073928,1430.17
107,n_3493,n_20881,1530.19144225134,1567.68
108,n_3494,n_30304,575.0470963571917,1470.91
