,source,sink,reactance,limit
0,n_10009,n_29015,43.90734829,4726.08
1,n_10013,n_10012,60.4601099,4825.54
2,n_10013,n_23846,68.21952497,4863.62
3,n_10014,n_14322,110375.2759,3683.73
4,n_10014,n_14521,52.70995866,1259
5,n_10014,n_18690,288.4465337,1406.31
6,n_10014,n_18691,57.1056308,1265.58
7,n_10014,n_29255,22.70301971,1191.82
8,n_10014,n_4099,14.11923001,4389.6
9,n_10015,n_23847,47.11162846,4747.81
10,n_10016,n_23850,13.67126906,4380.4
11,n_10017,n_28707,12.12504584,4346.3
12,n_10017,n_29021,1020.573746,16319.99
13,n_10018,n_10014,13.79015293,4382.87
14,n_10019,n_10018,1738.099666,6004.84
19,n_10029,n_10037,39.62644782,4694.63
20,n_10029,n_23786,21.2848665,4508.48
21,n_10029,n_30949,25.70806899,4564.23
22,n_10038,n_10037,305.5847134,5362.34
23,n_10038,n_10039,115.260223,5032.55
24,n_10048,n_22426,20.50525607,4497.54
25,n_10051,n_23858,58.96812272,4817.7
26,n_10052,n_23858,133.1949704,5080.15
27,n_10058,n_18692,42.02457774,4712.62
28,n_10123,n_10126,83.33506254,4927.4
29,n_10124,n_10125,58.17459184,4813.45
30,n_10124,n_17329,99.60660372,4984.95
31,n_10124,n_27939,59.65644213,4821.34
32,n_10125,n_23900,23.6584494,4539.61
33,n_10127,n_23901,275.8182424,5326.68
35,n_10707,n_30421,92.16291713,4959.81
36,n_10835,n_24341,9348.590233,1763.71
37,n_10836,n_30087,1893.630962,1589.58
38,n_10875,n_23849,452.2770794,1448.1
41,n_11742,n_15662,56.76721389,1265.09
42,n_11856,n_28998,186.195156,5192.15
43,n_12162,n_18700,7295.808558,1735.47
44,n_12414,n_6888,21.37720643,4509.75
45,n_12430,n_25047,156.7254904,5134.24
46,n_12432,n_25047,6439.191495,6539.24
47,n_12439,n_25052,194.0073083,5206.06
48,n_13301,n_31027,20.49774174,32838.4
49,n_13431,n_4166,1161.831511,1539.83
50,n_13780,n_27939,97.76523341,4978.9
51,n_13841,n_29284,407.5449614,1438.31
52,n_13841,n_30630,271.8244449,1400.89
53,n_13843,n_25970,303.1256498,1410.86
54,n_13843,n_29240,1251.794761,5877.89
55,n_13956,n_17072,814.5192951,1504.63
56,n_14194,n_14258,520.4291875,1461.39
57,n_14194,n_18690,114.642784,1324.32
58,n_14283,n_14301,1597.68655,1572.09
59,n_14283,n_29239,20703.93375,3713.5
60,n_14322,n_15629,298.9919188,2817.76
61,n_14549,n_26292,1020.55604,5800.26
62,n_14626,n_15689,54.09456942,1261.13
63,n_1500,n_28711,34.41766887,1224.55
64,n_1500,n_3861,121.3150994,1329.21
65,n_1506,n_28509,126.4840052,1332.82
66,n_1506,n_29226,179.4469696,1363.52
67,n_1508,n_29226,279.0992351,1403.3
68,n_1508,n_3484,284.0146608,1404.89
69,n_1508,n_5117,192.5545695,1369.79
70,n_1514,n_22543,6562.713288,6547.33
71,n_1514,n_28509,14.22979526,4391.83
72,n_1514,n_6177,396.8156339,10712.17
73,n_1514,n_6178,302.5759806,5358.89
74,n_1517,n_20880,125.5945489,5060.76
75,n_1517,n_20882,317.5998597,5375.82
76,n_1517,n_20883,139.0209008,1341.05
77,n_1517,n_20895,670.7029571,5643.9
78,n_1517,n_20897,650.1358784,5632.47
79,n_1517,n_28509,27.93718113,4589.01
80,n_1517,n_7592,38.83582922,4688.47
81,n_15226,n_28662,35.4728587,1226.96
82,n_15511,n_15512,98.69927191,1311.48
83,n_15512,n_11742,117.386268,1326.36
84,n_15512,n_30898,73.73083247,1286.81
85,n_15622,n_18690,74.32024475,1287.48
86,n_15626,n_15629,501.1564184,1457.8
87,n_15628,n_15626,138.2569203,1340.57
88,n_15628,n_15630,110.9416785,1321.5
89,n_15628,n_15632,256.4816109,1395.6
90,n_15628,n_30412,124.5586265,1331.49
91,n_15641,n_30940,202.2217293,38115.3
92,n_15641,n_30941,28.39978191,33542.91
93,n_15661,n_18700,76.0976863,1289.46
94,n_15664,n_28707,173.2321958,1360.4
95,n_15689,n_29983,86206.89655,2037.74
96,n_15690,n_15691,61.36780617,1271.53
97,n_15690,n_29983,57.93480608,1266.77
98,n_15691,n_15692,48.23115146,1251.74
99,n_15691,n_29983,48.8579861,1252.8
100,n_15692,n_30941,11.15850077,1137.97
101,n_1572,n_1575,125.7101366,6241.84
102,n_1572,n_23849,30.93913996,4619.6
103,n_1572,n_7026,25.44676892,4561.2
104,n_1572,n_7031,130.7579765,36471.65
105,n_1572,n_7041,26.97505193,4578.55
106,n_1575,n_28509,11.69200048,4336.03
107,n_15775,n_15776,4507.245397,1681.9
108,n_15776,n_26871,54.6888168,1262.02
109,n_15777,n_26871,152.4877228,1349.15
110,n_15782,n_31027,104.8401884,1316.64
111,n_1586,n_16162,2654.674617,1624.93
112,n_16281,n_18691,118.4365569,1327.13
113,n_16281,n_29255,305.2505848,1411.5
114,n_16289,n_18700,60.75134469,1270.69
115,n_16289,n_29240,142.7526275,2686.33
116,n_16404,n_18693,75.0866763,1288.34
117,n_16490,n_31089,896.3031082,1514.03
118,n_17329,n_27939,132.2389415,5077.77
119,n_1754,n_22541,10.43635322,4304.08
120,n_1754,n_28766,12.74005691,1147.83
121,n_1754,n_7608,80.2306535,4915.24
122,n_17632,n_18703,929.4414522,1517.62
123,n_17633,n_29477,125.9771893,1332.48
124,n_18280,n_30525,24.29394625,4547.45
125,n_1834,n_6177,31.50542928,33770.29
126,n_1834,n_6891,157.4187357,41884.84
127,n_1837,n_1924,4.609936344,29798.64
128,n_1837,n_22549,6476.641991,6541.71
129,n_1837,n_22589,89.0721241,4948.81
130,n_1837,n_6703,31.62926353,4626.24
131,n_1837,n_6893,55.02650324,4796.05
132,n_18493,n_22818,30.86992466,4618.93
133,n_1850,n_1851,100.4470093,1312.98
134,n_1850,n_20153,141.0340759,1342.31
135,n_1850,n_28509,55.40160987,1263.09
136,n_1851,n_13431,285.5290182,1405.38
137,n_18688,n_23858,50.97751942,4772.24
138,n_18688,n_29024,1287.498391,5888.67
139,n_18688,n_30525,3345.376689,6266.34
140,n_18689,n_22544,249.9648799,5292.66
141,n_18689,n_22611,14.05154864,4388.23
142,n_18689,n_28669,37878.78788,7339.22
143,n_18691,n_14194,162.3271216,1354.65
144,n_18692,n_20562,73.61767177,4887.79
145,n_18692,n_28635,40.74321325,4703.13
146,n_18693,n_18868,61.63005328,1271.88
147,n_18694,n_28706,79.45100626,1293.08
148,n_18696,n_18705,18.86134761,4473.14
149,n_18697,n_29980,289.0229377,5342.92
150,n_18697,n_6407,1957.701893,6051.53
151,n_18698,n_28663,12.9022777,4363.92
152,n_18699,n_18709,10.45137077,1133.13
153,n_18699,n_29017,201.6402222,5219.16
154,n_18699,n_30068,705.815425,1490.67
155,n_18704,n_22427,90.60643248,4954.31
156,n_18706,n_18707,143.8466434,1344.03
157,n_18706,n_18709,202.7263861,1374.39
158,n_18707,n_18710,439.1598871,2809.01
159,n_18707,n_30524,1603.316942,5973.37
160,n_18708,n_10875,51.73843201,1257.48
161,n_18708,n_18709,209.0920762,1377.16
162,n_18708,n_28211,112.8422109,1322.96
163,n_18710,n_6692,100.3116382,4987.24
164,n_18865,n_18866,136.1083281,5087.31
