n_1851,n_2416,n_4517,n_6131,n_6646,n_7011,n_11856,n_14194,n_15622,n_15641,n_15661,n_15662,n_15691,n_15692,n_16289,n_29021,n_29973,n_30069,n_30415,n_30525
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.908498281,0,1.090197938,0,211.9829323,0.726798625,0,15.44447078,21.80395875,19.98696219,0,0,0,110.3522579,16.77693493,15.62617044,2.664928292,0,36.33993126,57.29595828
1.612540002,0,1.935048003,0,376.2593339,1.290032002,0,27.41318004,38.70096006,35.47588005,0,0,0,195.8698589,29.77823871,27.73568804,4.73011734,0,64.50160009,101.6975228
1.616095769,0,1.939314922,0,377.0890127,1.292876615,0,27.47362807,38.78629845,35.55410691,0,0,0,196.301766,29.84390186,27.79684722,4.740547588,0,64.64383075,101.9217731
1.601872704,0,1.922247244,0,373.7702975,1.281498163,0,27.23183596,38.44494489,35.24119948,0,0,0,194.5741378,29.58124926,27.5522105,4.698826597,0,64.07490814,101.0247718
1.534313144,0,1.841175773,0,358.0064004,1.227450516,0,26.08332346,36.82351547,33.75488918,0,0,0,186.3679032,28.3336494,26.39018609,4.50065189,0,61.37252578,96.76401565
1.365414247,0,1.638497096,0,318.5966576,1.092331397,0,23.2120422,32.76994192,30.03911343,0,0,0,165.8523172,25.21464976,23.48512504,4.005215124,0,54.61656987,86.11212516
0.808936826,0,0.970724191,0,188.751926,0.647149461,0,13.75192604,19.41448382,17.79661017,0,0,0,98.25885978,14.93836672,13.91371341,2.372881356,0,32.35747304,51.01694915
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
