n_1851,n_2416,n_4517,n_6131,n_6646,n_7011,n_11856,n_14194,n_15622,n_15641,n_15661,n_15662,n_15691,n_15692,n_16289,n_29021,n_29973,n_30069,n_30415,n_30525
0.160009482,0,0.192011378,0,37.33554581,0.128007586,0,2.720161195,3.840227569,3.520208605,0,0,0,19.43581842,2.954841768,2.752163091,0.469361147,0,6.400379282,10.09126467
0.817826242,0,0.98139149,0,190.826123,0.654260993,0,13.90304611,19.6278298,17.99217731,0,0,0,99.33862747,15.10252459,14.06661135,2.398956975,0,32.71304966,51.57757497
1.857887875,0,2.22946545,0,433.5071708,1.4863103,0,31.58409387,44.589309,40.87353325,0,0,0,225.6714472,34.30899609,31.95567145,5.449804433,0,74.31551499,117.1707953
1.905890719,0,2.287068863,0,444.7078345,1.524712576,0,32.40014223,45.74137727,41.92959583,0,0,0,231.5021928,35.19544862,32.78132037,5.590612777,0,76.23562878,120.1981747
1.879222472,0,2.255066967,0,438.4852436,1.503377978,0,31.94678203,45.10133934,41.34289439,0,0,0,228.2628897,34.70297499,32.32262653,5.512385919,0,75.1688989,118.5162973
1.90055707,0,2.280668484,0,443.4633163,1.520445656,0,32.30947019,45.61336968,41.81225554,0,0,0,230.8543321,35.09695389,32.6895816,5.574967405,0,76.0222828,119.8617992
1.086286595,0,1.303543914,0,253.4668721,0.869029276,0,18.46687211,26.07087827,23.89830508,0,0,0,131.9476117,20.06009245,18.68412943,3.186440678,0,43.45146379,68.50847458
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.560033187,0,0.672039825,0,130.6744103,0.44802655,0,9.520564182,13.44079649,12.32073012,0,0,0,68.02536446,10.34194619,9.632570819,1.642764016,0,22.40132749,35.31942634
1.340523883,0,1.608628659,0,312.788906,1.072419106,0,22.78890601,32.17257319,29.49152542,0,0,0,162.8289676,24.7550077,23.05701079,3.93220339,0,53.62095532,84.54237288
1.824108095,0,2.188929714,0,425.6252222,1.459286476,0,31.00983762,43.77859429,40.1303781,0,0,0,221.56833,33.68519616,31.37465924,5.35071708,0,72.96432381,115.0404172
1.80988503,0,2.171862036,0,422.3065071,1.447908024,0,30.76804551,43.43724073,39.81747066,0,0,0,219.8407017,33.42254356,31.13002252,5.308996089,0,72.39540121,114.1434159
1.125400024,0,1.350480028,0,262.5933389,0.900320019,0,19.1318004,27.00960057,24.75880052,0,0,0,136.6985895,20.7823871,19.35688041,3.301173403,0,45.01600095,70.97522816
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.622259097,0,0.746710916,0,145.1937893,0.497807277,0,10.57840465,14.93421832,13.68970013,0,0,0,75.58373829,11.49105132,10.70285647,1.825293351,0,24.89036387,39.24380704
1.296076805,0,1.555292165,0,302.4179211,1.036861444,0,22.03330568,31.10584331,28.5136897,0,0,0,157.4301292,23.93421832,22.29252104,3.801825293,0,51.84307218,81.73924381
1.756548536,0,2.107858243,0,409.8613251,1.405238829,0,29.86132512,42.15716487,38.6440678,0,0,0,213.3620955,32.4375963,30.21263482,5.152542373,0,70.26194145,110.779661
2.305914425,0,2.767097309,0,538.0466991,1.84473154,0,39.20054522,55.34194619,50.73011734,0,0,0,280.0917388,42.58255304,39.6617281,6.764015645,0,92.23657698,145.4263364
2.295247126,0,2.754296551,0,535.5576627,1.836197701,0,39.01920114,55.08593102,50.49543677,0,0,0,278.7960176,42.38556359,39.47825056,6.732724902,0,91.80988503,144.7535854
2.065900201,0,2.479080242,0,482.0433803,1.652720161,0,35.12030343,49.58160484,45.44980443,0,0,0,250.9380111,38.15029039,35.53348347,6.059973924,0,82.63600806,130.2894394
0.739599384,0,0.88751926,0,172.5731895,0.591679507,0,12.57318952,17.75038521,16.27118644,0,0,0,89.8366718,13.65793529,12.7211094,2.169491525,0,29.58397535,46.6440678
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.338746,0,1.6064952,0,312.3740666,1.0709968,0,22.758682,32.12990399,29.45241199,0,0,0,162.6130141,24.72217613,23.0264312,3.926988266,0,53.54983999,84.43024772
2.099679981,0,2.519615977,0,489.9253289,1.679743985,0,35.69455968,50.39231954,46.19295958,0,0,0,255.0411284,38.77409032,36.11449567,6.159061278,0,83.98719924,132.4198175
2.090790565,0,2.508948678,0,487.8511319,1.672632452,0,35.54343961,50.17897357,45.99739244,0,0,0,253.9613607,38.60993244,35.96159772,6.132985658,0,83.63162261,131.8591917
2.089012682,0,2.506815219,0,487.4362925,1.671210146,0,35.5132156,50.13630437,45.95827901,0,0,0,253.7454071,38.57710087,35.93101813,6.127770535,0,83.56050729,131.7470665
2.055232903,0,2.466279483,0,479.554344,1.644186322,0,34.93895935,49.32558966,45.21512386,0,0,0,249.6422899,37.95330094,35.35000593,6.028683181,0,82.20931611,129.6166884
1.975228162,0,2.370273794,0,460.8865711,1.580182529,0,33.57887875,47.40547588,43.45501956,0,0,0,239.9243808,36.47588005,33.97392438,5.794002608,0,79.00912647,124.5710561
1.192959583,0,1.431551499,0,278.357236,0.954367666,0,20.28031291,28.63102999,26.24511082,0,0,0,144.904824,22.02998696,20.51890482,3.49934811,0,47.71838331,75.23598435
0.282683418,0,0.339220102,0,65.95946426,0.226146735,0,4.805618111,6.784402039,6.219035202,0,0,0,34.33661255,5.220220458,4.862154794,0.829204694,0,11.30733673,17.82790091
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2951286,0,0.35415432,0,68.86334005,0.23610288,0,5.017186204,7.083086405,6.492829205,0,0,0,35.84828731,5.450041484,5.076211924,0.865710561,0,11.80514401,18.61277705
1.127177907,0,1.352613488,0,263.0081783,0.901742325,0,19.16202442,27.05226976,24.79791395,0,0,0,136.9145431,20.81521868,19.38746,3.306388527,0,45.08711627,71.08735332
2.281024061,0,2.737228873,0,532.2389475,1.824819249,0,38.77740903,54.74457746,50.18252934,0,0,0,277.0683892,42.12291099,39.23361384,6.691003911,0,91.24096243,143.8565841
2.645490103,0,3.174588124,0,617.2810241,2.116392082,0,44.97333175,63.49176247,58.20078227,0,0,0,321.3388646,48.8533839,45.50242977,7.760104302,0,105.8196041,166.8422425
2.097902098,0,2.517482517,0,489.5104895,1.678321678,0,35.66433566,50.34965035,46.15384615,0,0,0,254.8251749,38.74125874,36.08391608,6.153846154,0,83.91608392,132.3076923
0.087116274,0,0.104539528,0,20.3271305,0.069693019,0,1.48097665,2.090790565,1.916558018,0,0,0,10.58172336,1.608747185,1.498399905,0.255541069,0,3.484650942,5.494132986
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.763660069,0,2.116392082,0,411.5206827,1.410928055,0,29.98222117,42.32784165,38.80052151,0,0,0,214.2259097,32.5689226,30.33495318,5.173402868,0,70.54640275,111.2281617
2.665046818,0,3.198056181,0,621.8442574,2.132037454,0,45.3057959,63.96112362,58.63102999,0,0,0,323.7143535,49.21453123,45.83880526,7.817470665,0,106.6018727,168.0756193
2.67215835,0,3.20659002,0,623.503615,2.13772668,0,45.42669195,64.1318004,58.7874837,0,0,0,324.5781676,49.34585753,45.96112362,7.83833116,0,106.886334,168.5241199
2.656157402,0,3.187388882,0,619.7700604,2.124925922,0,45.15467583,63.74777765,58.43546284,0,0,0,322.6345857,49.05037336,45.68590731,7.791395046,0,106.2462961,167.5149935
2.634822804,0,3.161787365,0,614.7919877,2.107858243,0,44.79198767,63.2357473,57.96610169,0,0,0,320.0431433,48.65639445,45.31895223,7.728813559,0,105.3929122,166.1694915
2.515704634,0,3.018845561,0,586.997748,2.012563707,0,42.76697878,60.37691122,55.34550196,0,0,0,305.5742562,46.45667891,43.27011971,7.379400261,0,100.6281854,158.6571056
1.303188337,0,1.563826005,0,304.0772787,1.04255067,0,22.15420173,31.27652009,28.67014342,0,0,0,158.2939434,24.06554462,22.4148394,3.822685789,0,52.12753348,82.18774446
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.264074908,0,1.51688989,0,294.9508119,1.011259927,0,21.48927344,30.3377978,27.80964798,0,0,0,153.5429655,23.34324997,21.74208842,3.707953064,0,50.56299633,79.72099087
2.215242385,0,2.658290862,0,516.8898898,1.772193908,0,37.65912054,53.16581723,48.73533246,0,0,0,269.0781083,40.9081427,38.10216902,6.498044329,0,88.60969539,139.7079531
2.281024061,0,2.737228873,0,532.2389475,1.824819249,0,38.77740903,54.74457746,50.18252934,0,0,0,277.0683892,42.12291099,39.23361384,6.691003911,0,91.24096243,143.8565841
2.279246178,0,2.735095413,0,531.8241081,1.823396942,0,38.74718502,54.70190826,50.14341591,0,0,0,276.8524356,42.09007941,39.20303425,6.685788787,0,91.1698471,143.7444589
2.154794358,0,2.58575323,0,502.7853502,1.723835487,0,36.63150409,51.7150646,47.40547588,0,0,0,261.735688,39.79186915,37.06246296,6.320730117,0,86.19177433,135.8956975
1.07206353,0,1.286476236,0,250.1481569,0.857650824,0,18.22508,25.72952471,23.58539765,0,0,0,130.2199834,19.79743985,18.43949271,3.144719687,0,42.88254119,67.61147327
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.174232547,0,0.209079057,0,40.65426099,0.139386038,0,2.961953301,4.181581131,3.833116037,0,0,0,21.16344673,3.21749437,2.99679981,0.511082138,0,6.969301885,10.98826597
0.291572834,0,0.349887401,0,68.03366125,0.233258267,0,4.956738177,6.997748015,6.414602347,0,0,0,35.41638023,5.384378334,5.015052744,0.855280313,0,11.66291336,18.38852673
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.968946308,0,1.16273557,0,226.0874719,0.775157046,0,16.47208723,23.25471139,21.31681877,0,0,0,117.6946782,17.89320849,16.6658765,2.842242503,0,38.75785232,61.10821382
1.797439848,0,2.156927818,0,419.4026313,1.437951879,0,30.55647742,43.13855636,39.54367666,0,0,0,218.3290269,33.19272253,30.91596539,5.272490222,0,71.89759393,113.3585398
2.099679981,0.27442371,2.519615977,0.487376509,489.9253289,1.679743985,0.004390779,35.69455968,50.39231954,46.19295958,0,0,0.230515917,255.0411284,38.77409032,36.11449567,6.159061278,0.003293085,83.98719924,132.4198175
2.22946545,0,2.67535854,0,520.208605,1.78357236,0,37.90091265,53.5071708,49.0482399,0,0,0,270.8057366,41.17079531,38.34680574,6.539765319,0,89.17861799,140.6049544
1.877444589,0,2.252933507,0,438.0704042,1.501955671,0,31.91655802,45.05867014,41.30378096,0,0,0,228.0469361,34.67014342,32.29204694,5.507170795,0,75.09778357,118.4041721
0.588479317,0,0.706175181,0,137.3118407,0.470783454,0,10.00414839,14.12350362,12.94654498,0,0,0,71.48062107,10.86725139,10.12184426,1.726205997,0,23.53917269,37.11342894
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.116510608,0,1.33981273,0,260.5191419,0.893208486,0,18.98068034,26.79625459,24.56323338,0,0,0,135.6188219,20.61822923,19.20398246,3.275097784,0,44.66042432,70.41460235
1.48097665,0,1.777171981,0,345.5612184,1.18478132,0,25.17660306,35.54343961,32.58148631,0,0,0,179.8892971,27.34870215,25.47279839,4.344198175,0,59.23906602,93.40026076
1.54320256,0.27442371,1.851843072,0.487376509,360.0805974,1.234562048,0.004390779,26.23444352,37.03686144,33.95045632,0,0,0.230515917,187.447671,28.49780728,26.54308403,4.52672751,0.003293085,61.72810241,97.32464146
1.450752637,0,1.740903165,0,338.5089487,1.16060211,0,24.66279483,34.81806329,31.91655802,0,0,0,176.218087,26.79056537,24.95294536,4.255541069,0,58.03010549,91.49413299
1.363636364,0,1.636363636,0,318.1818182,1.090909091,0,23.18181818,32.72727273,30,0,0,0,165.6363636,25.18181818,23.45454545,4,0,54.54545455,86
0.305795899,0,0.366955079,0,71.35237644,0.244636719,0,5.198530283,7.339101576,6.727509778,0,0,0,37.14400854,5.647030935,5.259689463,0.897001304,0,12.23183596,19.28552803
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.62403698,0,0.748844376,0,145.6086287,0.499229584,0,10.60862866,14.97688752,13.72881356,0,0,0,75.79969183,11.5238829,10.73343606,1.830508475,0,24.9614792,39.3559322
1.923669551,0.27442371,2.308403461,0.487376509,448.8562285,1.538935641,0.004390779,32.70238236,46.16806922,42.32073012,0,0,0.230515917,233.6617282,35.52376437,33.08711627,5.642764016,0.003293085,76.94678203,121.3194263
2.654379519,0,3.185255423,0,619.3552211,2.123503615,0,45.12445182,63.70510845,58.39634941,0,0,0,322.4186322,49.01754178,45.65532772,7.786179922,0,106.1751808,167.4028683
2.647267986,0,3.176721584,0,617.6958635,2.117814389,0,45.00355577,63.53443167,58.2398957,0,0,0,321.5548181,48.88621548,45.53300936,7.765319426,0,105.8907195,166.9543677
2.378807633,0,2.85456916,0,555.0551144,1.903046106,0,40.43972976,57.09138319,52.33376793,0,0,0,288.9458339,43.92864762,40.91549129,6.977835724,0,95.15230532,150.0234681
0.544032239,0.27442371,0.652838687,0.487376509,126.9408558,0.435225791,0.004390779,9.248548062,13.05677373,11.96870926,0,0,0.230515917,66.08178262,10.04646201,9.35735451,1.595827901,0.003293085,21.76128956,34.31029987
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.551143771,0,0.661372526,0,128.6002133,0.440915017,0,9.369444115,13.22745052,12.12516297,0,0,0,66.94559677,10.17778831,9.47967287,1.616688396,0,22.04575086,34.75880052
1.15740192,0,1.388882304,0,270.060448,0.925921536,0,19.67583264,27.77764608,25.46284224,0,0,0,140.5857532,21.37335546,19.90731303,3.395045632,0,46.2960768,72.9934811
1.594761171,0,1.913713405,0,372.1109399,1.275808937,0,27.11093991,38.2742681,35.08474576,0,0,0,193.7103236,29.44992296,27.42989214,4.677966102,0,63.79044684,100.5762712
1.6338746,0.27442371,1.96064952,0.487376509,381.2374067,1.30709968,0.004390779,27.7758682,39.2129904,35.9452412,0,0,0.230515917,198.4613014,30.17221761,28.10264312,4.792698827,0.003293085,65.354984,103.0430248
1.143178855,0,1.371814626,0,266.7417328,0.914543084,0,19.43404054,27.43629252,25.14993481,0,0,0,138.8581249,21.11070286,19.66267631,3.353324641,0,45.7271542,72.09647979
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.27442371,0,0.487376509,0,0,0.004390779,0,0,0,0,0,0.230515917,0,0,0,0,0.003293085,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.236458457,0,0.283750148,0,55.17363992,0.189166765,0,4.019793766,5.675002963,5.20208605,0,0,0,28.72182056,4.366599502,4.067085457,0.693611473,0,9.458338272,14.91264668
1.027616451,0,1.233139742,0,239.777172,0.822093161,0,17.46947967,24.66279483,22.60756193,0,0,0,124.821145,18.97665047,17.67500296,3.014341591,0,41.10465805,64.8083442
1.532535261,0,1.839042314,0,357.591561,1.226028209,0,26.05309944,36.78084627,33.71577575,0,0,0,186.1519498,28.30081783,26.3596065,4.495436767,0,61.30141045,96.65189048
1.306744103,0.27442371,1.568092924,0.487376509,304.9069574,1.045395283,0.004390779,22.21464976,31.36185848,28.74837027,0,0,0.230515917,158.7258504,24.13120778,22.47599858,3.833116037,0.003293085,52.26976413,82.41199478
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
