ShearonHarris,McGuire,NewBrunswick
950.9,2422.098007,1627.466091
950.9,2422.758879,1625.112852
950.9,2421.106698,1625.112852
950.9,2423.750188,1625.897265
950.9,2423.750188,1622.759612
950.9,2424.080624,1622.759612
950.9,2422.098007,1633.741397
950.9,2424.411061,1640.016702
950.9,2424.411061,1641.585528
950.9,2424.411061,1657.273792
950.9,2425.40237,1652.567313
950.9,2422.758879,1661.980271
950.9,2425.40237,1673.746468
950.9,2424.741497,1678.452947
950.9,2426.393678,1683.94384
950.9,2426.063242,1691.003558
950.9,2426.063242,1696.49445
950.9,2428.04586,1706.691822
950.9,2426.724115,1711.398301
950.9,2427.715424,1717.673606
950.9,2427.054551,1723.164498
950.9,2427.715424,1729.439804
950.9,2427.715424,1739.637175
950.9,2429.698041,1744.343654
950.9,2428.04586,1752.972199
950.9,2429.037169,1756.109851
950.9,2429.037169,1761.600743
950.9,2429.037169,1764.738396
950.9,2429.037169,1771.798115
950.9,2431.019787,1776.504594
950.9,2429.037169,1785.133139
950.9,2429.037169,1787.486378
950.9,2431.019787,1792.192857
950.9,2430.028478,1797.683749
950.9,2431.019787,1803.174642
950.9,2430.028478,1808.665534
950.9,2431.350223,1811.018773
950.9,2429.698041,1817.294079
950.9,2430.028478,1818.078492
950.9,2431.680659,1822.000558
950.9,2428.706733,1825.922623
950.9,2429.367605,1830.629102
950.9,2429.698041,1832.982342
950.9,2428.376296,1836.119995
950.9,2430.028478,1840.826474
950.9,2429.037169,1840.826474
950.9,2430.028478,1836.119995
950.9,2430.68935,1834.551168
950.9,2429.367605,1829.060276
950.9,2429.037169,1839.257647
950.9,2430.028478,1834.551168
950.9,2430.358914,1833.766755
950.9,2429.367605,1835.335582
950.9,2432.011095,1835.335582
950.9,2430.028478,1836.904408
950.9,2430.028478,1836.119995
950.9,2429.367605,1833.766755
950.9,2431.350223,1833.766755
950.9,2429.367605,1832.982342
950.9,2429.037169,1832.197929
950.9,2429.367605,1826.707037
950.9,2429.367605,1824.353797
950.9,2430.358914,1826.707037
950.9,2431.680659,1825.13821
950.9,2432.671968,1822.000558
950.9,2430.358914,1823.569384
950.9,2432.341532,1824.353797
950.9,2431.019787,1824.353797
950.9,2431.019787,1823.569384
950.9,2431.019787,1825.13821
950.9,2431.019787,1785.917552
950.9,2430.68935,1677.668534
950.9,2432.341532,1759.247504
950.9,2432.341532,1805.527881
950.9,2430.028478,1814.156426
950.9,2431.680659,1823.569384
950.9,2431.350223,1830.629102
950.9,2430.358914,1837.688821
950.9,2430.358914,1846.317366
950.9,2432.011095,1851.808258
950.9,2430.028478,1860.436803
950.9,2431.350223,1866.712108
950.9,2430.028478,1868.280935
950.9,2432.341532,1875.340653
950.9,2430.028478,1879.262719
950.9,2429.367605,1879.262719
950.9,2430.028478,1882.400372
950.9,2429.698041,1882.400372
950.9,2430.028478,1886.322438
950.9,2429.698041,1890.244503
950.9,2428.04586,1904.363941
950.9,2427.715424,1906.71718
950.9,2427.054551,1909.07042
950.9,2428.376296,1915.345725
950.9,2426.724115,1923.189857
950.9,2430.028478,1927.896336
950.9,2430.68935,1927.896336
950.9,2431.019787,1926.327509
950.9,2431.350223,1923.189857
950.9,2432.011095,1920.836617
950.9,2432.671968,1923.97427
950.9,2432.671968,1923.97427
950.9,2432.671968,1922.405443
950.9,2431.680659,1921.62103
950.9,2434.324149,1922.405443
950.9,2432.671968,1920.836617
950.9,2433.002404,1920.052204
950.9,2433.002404,1920.836617
950.9,2432.011095,1919.267791
950.9,2432.671968,1916.914551
950.9,2431.350223,1911.423659
950.9,2432.341532,1906.71718
950.9,2432.011095,1905.932767
950.9,2431.680659,1898.873048
950.9,2433.332841,1900.441875
950.9,2433.993713,1900.441875
950.9,2433.002404,1899.657461
950.9,2433.332841,1901.226288
950.9,2433.663277,1806.312294
950.9,2432.671968,1765.522809
950.9,2434.324149,1805.527881
950.9,2434.324149,1842.3953
950.9,2433.663277,1858.083563
950.9,2435.315458,1873.771827
950.9,2433.002404,1886.322438
950.9,2433.663277,1897.304222
950.9,2433.663277,1904.363941
950.9,2433.663277,1909.854833
950.9,2433.663277,1915.345725
950.9,2433.993713,1918.483378
950.9,2435.315458,1923.189857
950.9,2433.332841,1928.680749
950.9,2431.350223,1931.033988
950.9,2432.341532,1929.465162
950.9,2432.341532,1925.543096
950.9,2432.671968,1925.543096
950.9,2433.002404,1931.033988
950.9,2431.350223,1931.033988
950.9,2432.011095,1931.818401
950.9,2431.680659,1933.387228
950.9,2432.011095,1931.033988
950.9,2432.011095,1929.465162
950.9,2432.011095,1933.387228
950.9,2433.663277,1934.956054
950.9,2433.002404,1934.171641
950.9,2433.002404,1934.171641
950.9,2432.341532,1934.171641
950.9,2432.341532,1932.602815
950.9,2432.341532,1934.171641
950.9,2433.993713,1934.956054
950.9,2433.332841,1938.87812
950.9,2433.663277,1937.309294
950.9,2433.002404,1939.662533
950.9,2432.341532,1905.932767
950.9,2432.671968,1885.538024
950.9,2433.002404,1888.675677
950.9,2433.332841,1890.244503
950.9,2433.002404,1888.675677
950.9,2432.341532,1887.106851
950.9,2433.002404,1888.675677
950.9,2431.019787,1892.597743
950.9,2433.663277,1890.244503
