source,sink,linesus,linemva
10023,10024,0.042095484,4540.82
6650,29973,0.000676183,1564.20
18699,29017,0.004959328,5219.16
18696,18705,0.053018481,4473.14
6666,6678,4.04787E-06,2182.73
12432,25047,0.000155299,6539.24
4096,21285,0.004021788,5290.84
6400,22425,0.013817974,1285.25
333,334,0.006699211,5117.98
9870,23789,0.006796943,5113.15
18708,10875,0.019327992,1257.48
6955,28704,0.006465231,1350.40
28707,29661,0.021829091,1247.55
9506,18869,0.009316571,1318.66
1924,28663,0.182551671,30135.17
9508,23786,0.003978529,5294.57
6652,28470,0.001091977,5759.50
23793,9887,0.026429653,4680.52
16490,31089,0.001115694,1514.03
22540,6665,0.001842952,5566.57
2907,30301,0.000739083,1555.17
9994,29016,0.013075902,4899.93
328,12439,0.00219066,1448.97
6660,7026,0.008312889,5046.57
10029,10037,0.025235671,4694.63
23782,9484,0.000124951,6632.46
9479,23781,0.01290109,4904.23
18692,20562,0.013583695,4887.79
23850,29020,0.001273794,5702.04
18493,22818,0.032393989,4618.93
2414,22427,0.05139621,4482.19
30522,23843,0.007314652,5088.78
23850,28673,0.011473871,4941.80
1517,20880,0.007962129,5060.76
1572,7026,0.03929772,4561.20
29015,30069,0.001112966,5752.36
9833,28993,0.006592787,5123.31
30401,29024,0.023107603,4721.63
22611,30413,0.000130863,6612.53
7566,28767,0.011729174,4934.73
9835,23770,0.000918244,5824.84
6894,22592,0.009664251,4997.33
9440,23772,0.013239414,4895.97
6954,31267,0.010625426,1307.42
218,29226,0.001816384,1466.75
23842,10002,0.00017777,6481.96
23784,28652,0.001927139,5550.40
15689,29983,1.16349E-05,2037.74
9480,9867,0.001984577,5539.80
7045,30086,0.010910507,4958.02
6688,6690,0.002023875,1456.46
30523,28998,0.009180251,5014.07
23900,23902,0.000334157,6221.04
6965,6968,0.007927517,1332.59
9458,23584,0.001040362,5777.68
28714,30086,0.031107312,4631.13
23903,10129,0.040347508,4553.38
9820,7091,0.029393676,4648.25
28471,29962,0.005923659,1358.11
2417,18867,0.008392184,1327.66
9831,23770,0.016213467,4831.81
6664,6674,0.00400227,5292.52
323,19224,5.41637E-05,7003.38
4098,21285,3.35147E-05,7225.69
23857,7061,0.014548772,4866.00
9851,28662,0.005373144,1366.76
4473,30940,0.052584889,32678.48
6895,22591,0.016827898,4820.12
6691,7607,0.007423221,5083.90
2418,2416,0.041141577,4547.60
29016,29019,0.038918548,4564.08
6904,18493,3.43919E-05,7213.55
18707,18710,0.005562175,1363.69
27913,6939,0.002181794,1449.35
15691,29983,0.020467483,1252.80
6971,6974,0.001168199,1509.51
23785,28652,0.006078619,5150.47
6684,4484,0.002070896,1454.28
30212,27690,0.001176254,1508.83
7064,7066,0.002737992,5424.95
1506,28509,0.007906138,1332.82
9871,23788,0.010458423,4971.70
22815,22816,0.008948498,5022.42
29018,28673,0.012744894,4908.12
9414,28704,0.014339533,4870.59
6024,7798,0.004373314,1385.20
6967,6972,0.000319254,1642.52
18698,28663,0.077505695,4363.92
9874,23789,0.028852101,4653.88
