n_16289_hydro,n_14194_hydro,n_15622_hydro,n_29021_hydro,n_6646_hydro,n_6647_hydro,n_10052_hydro
0,17.69,39.87,54.64,101.62,65.35,375.72
0,243.63,608.62,483.27,625.12,401.83,464.44
0,146.77,220.7,306.46,301.54,177.37,536.54
5.16,216.46,331.49,276.27,292.02,173.22,279.6
0,82.1,271.04,234.27,279.93,173.61,444.51
142.32,231.02,352.2,348.58,366.64,220.99,227.92
43.6,133.94,210.03,200.22,279.89,178.74,277.68
36.69,32.8,90.49,93.01,172.72,115.19,200.71
312.07,401.57,613.14,500.88,612.7,393.23,1003.22
193.93,221.31,595.35,530.27,567.15,424.62,520.15
55.57,174.8,318.02,406.61,392.61,273.52,558.03
0,17.83,0,0,65.1,31.98,124.08
36.83,57.52,0,0,65.11,31.97,200.71
329.44,185.9,215.17,190.22,280.6,185.24,200.71
455.19,209.11,298.66,273.26,389.09,256.51,239.02
0,238.52,196.33,143,65.2,31.86,124.08
0,103.89,159.9,242.22,65.23,31.65,124.08
0,155.15,293.48,254.1,65.27,31.42,124.08
92.89,139.14,320.9,304.31,78.3,49.61,124.08
36.88,130.38,239.63,234.11,65.37,31.14,200.71
36.88,204.87,412.32,324.89,65.37,31.09,200.71
36.86,161.21,274.65,257.63,65.37,31.1,200.71
0,146.52,440.41,356.05,65.37,30.94,245.24
7.72,64.59,72.35,138.06,65.37,30.75,132.36
0,152.65,315.21,329.47,65.37,30.71,134.42
0,149.11,252.66,192.3,65.37,30.66,317.04
37.08,88.38,520.72,413.32,65.37,30.64,278.71
55.24,87.64,91.14,147.25,65.37,32.11,256.43
37.09,87.79,209.98,207.52,65.37,30.61,200.71
154.17,305.62,591.97,455.18,501.37,79.47,528.79
27.23,46.57,552.4,510.68,741.55,31.68,172.62
194.58,224.5,309.68,276.03,436.62,145.69,144.73
265.17,217.96,340.09,298.32,567.76,449.7,632.12
204.02,133.53,333.28,318.11,436.71,297.68,393.88
37.19,203.29,409.02,383.15,545.91,399.61,501.64
107.93,118.63,139.38,119,283.86,191.41,509.76
136.7,193,645.1,601.24,873.43,665.77,204.18
196.26,241.38,364.57,313.46,414.89,285.82,763.04
35.08,171.87,293.21,240.21,414.89,294.98,385.68
228.39,130.53,203.12,301.92,414.89,294.14,606.05
174.53,244.15,387.18,293.73,414.89,296.69,396.48
267.09,157.61,322.17,294.7,393.06,269.57,452.64
37.16,223.3,437.9,372.49,502.23,348.28,455.32
204.08,109.68,343.91,282.13,436.72,303.16,286.1
126.44,183.65,304.37,328.69,436.72,304.57,535.96
107.81,157.5,354.79,282.63,436.72,304.14,330.74
41.06,156.23,365.56,291.11,436.72,304.12,363.61
72.79,164.53,262.8,416.62,589.6,434.66,683.87
37.18,124.52,206.16,161.34,305.7,198.38,298.25
245.73,109.03,324.81,345.02,480.4,348.55,444.94
318.77,353.4,602.44,457.24,720.62,556.55,868.69
236.84,175.2,362.15,378.9,545.89,362.74,534.65
164.4,203.08,462.76,343.98,502.24,360.47,539.74
41.41,85.5,354.84,399.37,589.59,422.87,470.21
201.63,43.62,77.82,120.2,130.98,215.23,466.91
162.83,298.45,464.81,466.64,742.27,383.87,435.89
37.17,73.51,126.48,65.6,64.54,184.77,318.62
298.39,154.11,586.1,448.76,698.6,343.54,592.39
0,127.91,261.58,182.86,218.36,138.72,351.82
79.8,186.4,299.78,310.96,414.89,296.78,335.79
86.16,58.27,82.79,141.99,152.85,80.89,644.71
108.14,264.54,419.49,507.7,720.62,567.54,379.37
120.99,47.44,305.51,236.17,327.54,194.33,293.51
86.59,253.15,371.05,294.58,524.08,403.05,498.54
15.35,130.68,206.72,158.52,218.35,125.1,760.23
245.41,306.37,494.77,397.67,567.76,424.54,361.99
224.04,209.87,373.91,270.77,349.37,212.93,466
293.63,228.9,408.55,346.87,502.24,359.05,596.02
284.65,480.86,851.29,632.63,917.09,677.29,731.19
251.64,217.64,358.65,302.48,436.72,304.01,485.83
37.18,130.68,228.28,162.24,240.19,151.21,248.78
164.92,79.09,293.63,242.73,349.39,248.29,248.19
212.4,148.45,212.47,195.8,262.02,147.1,453.68
346.73,270.73,505.63,399.95,567.75,414.47,557.83
88.34,40.88,91.17,97.31,105.7,190.4,299.38
37.19,238.88,361.9,308.02,436.62,132.12,279.2
216.57,121.84,381.39,298.33,502.25,387.05,482.52
119.63,179.8,292.28,212.21,371.2,243.28,250.77
234.61,220.52,559.61,455.39,698.78,528.49,837.83
20.35,34.24,66.24,240.83,305.68,167.93,411.9
41.07,193.54,342.56,261.84,327.55,217.53,315.11
146.87,157.34,244.6,203.96,371.22,260.27,366.91
133.78,139.6,320.72,258.64,393.06,269.8,438.73
182.76,172.98,291.9,241.64,283.86,172.33,259.47
59.15,183.38,312.7,284.6,502.24,379.85,519.37
202.15,190.81,595.72,486.48,786.08,572.38,613.76
113.12,177.41,392.24,325.16,393.07,278.73,393.7
41.41,124.71,261.98,192.21,240.17,114.48,320.55
104.89,127.53,197.57,289.64,393.06,278.64,583.3
96.12,79.16,212.01,227.84,283.85,150.54,242.88
244.26,261.15,417.67,368.04,611.44,464.65,561.83
37.11,214.82,413.05,310.9,414.89,268.55,548.58
310.76,130.82,408.6,323.45,611.42,440.89,826.12
191.92,172.91,686.24,521.04,720.61,533.67,832.13
162.51,176.37,228.44,194.65,305.7,186.17,279.99
146.94,166.4,262.22,334.74,458.56,321.3,335.6
89.78,124.93,195.79,216.78,262.03,160.08,317.05
37.18,85.66,129.96,145.04,174.66,85.99,555.33
68.6,38.03,565.13,442.7,676.96,532.64,300.85
84.21,185.67,331.22,211.91,371.21,237.35,295.02
149.61,206.22,369.92,288.79,371.22,247.88,504.86
41.06,187.41,408.32,355.68,524.07,356.67,452.15
209.65,366.66,580.57,441.79,786.09,586.73,881.19
163.17,142,327.05,290.94,371.22,260.16,512.29
183.02,242.01,386.37,315.41,458.54,295.53,280.87
37.12,218.01,422.4,364.23,502.25,362.23,521.41
6.49,91.7,350.77,271.27,545.91,402.17,736.5
112.47,136.41,277.56,228.28,283.86,172.66,268.89
136.19,103.8,181.51,176.62,218.34,124.22,205.8
75.11,55.48,77.67,67.37,131.01,76.38,640.52
112.06,244.83,387.25,396.37,567.76,441.87,626.12
100.73,127.82,213.15,141.16,262.02,157.45,256.38
94.17,124.97,208.69,178.93,327.55,238,214.66
95.26,101.06,639,488.8,698.77,522.07,663.49
28.93,35.03,190.32,144.8,174.66,67.91,359.42
67.12,215.73,126.42,115.7,240.2,171.92,268.79
84.22,103.96,159.22,140.09,152.85,81.38,133.91
43.91,104.16,163.32,143.68,152.85,90.99,124.08
154.66,203.12,388.52,404.17,589.6,450.95,539.08
37.17,82.6,91.14,180.31,218.34,108.24,200.71
265.67,211.32,462.33,366.74,742.43,578.75,289.6
6.48,76.33,246.76,193.29,240.19,142.1,237.76
6.49,61.95,88.13,93.64,104.75,205.73,323.8
6.49,104.18,164.85,217.24,283.74,184.31,275.66
6.49,76.43,141.42,121.48,130.95,67.56,602.46
37.17,49.61,91.17,90.86,130.95,72.3,200.71
74.9,40.71,91.13,128.79,152.77,80.89,346.7
259.71,204.32,397.85,336.22,698.6,370.17,477.91
105.34,266.5,426.7,351.35,502.25,372.23,511.29
101.98,70.08,143.51,111.18,130.99,225.87,244.07
63.11,32.62,294.12,269.48,436.62,144.52,234.85
110.38,79.25,82.67,118.28,131.01,68.7,445.16
57.77,100.53,164.6,173.78,262.04,188.28,290.28
37.19,65.33,106.76,95.22,130.79,55.71,200.71
54.84,95.14,197.87,150.9,305.71,234.33,200.71
6.49,73.22,195.48,159.94,196.51,103.63,135.95
28.64,121.32,190.34,165.01,262.04,193.12,217.09
24.67,109.65,387.03,332.56,502.24,373.15,334.27
102.42,155.19,228.47,190.75,283.85,174.63,277.88
211.24,130.85,216.2,192.93,305.71,215.45,329.39
37.17,67.55,173.67,156.55,196.51,108.3,200.71
165.54,280.97,440.94,331.28,567.76,438.77,538.39
77.52,64.73,240.53,199.5,262.01,144.1,418.38
163.91,195.05,345.65,284.53,524.08,404.62,504.41
46.81,156.32,273.1,249.85,327.54,210.07,310.29
47.59,85.52,206.25,167.37,218.34,118.03,262.57
37.19,70.32,121.61,139.95,218.36,149.47,251.54
37.17,152.54,254.6,194.5,283.87,192.86,289.81
91.38,130.63,295.6,243.87,414.89,307.39,436.6
241.93,154.09,239.6,247.94,327.54,216.58,207
184.31,255.08,793.05,632.93,1113.52,849.71,555.51
108.71,193.02,283.09,245.89,327.54,222.12,739.3
76.89,61.86,179.92,156.66,305.71,212.95,304.09
107.02,115.97,193.46,184.19,240.18,134.4,203.46
37.15,70.62,202.72,164.01,327.54,230.71,339.04
127.5,229.22,365.66,310.49,436.72,292.93,465.03
85.41,136.45,245.08,180.58,218.36,142.86,623.15
123.83,103.82,180.57,157.3,283.86,197.83,296.28
40.63,137.31,304.89,277.72,371.22,251.38,361.4
736.84,780.84,998.96,621.32,655.05,476.86,510.94
747.39,791.37,1007.23,630,3285.93,1672.57,1494.64
749.07,766.44,1029.35,635.88,1712.08,1271.96,1524.68
748.49,495.53,935.5,635.42,1287.68,871.91,1242.08
36,547.22,1031.18,634.1,6714.03,1554.61,1362.2
746.97,797.17,953.82,599.25,7179.09,1565.53,1164.54
745.52,821.92,965.3,619.09,7875,1539.95,1164.54
749.56,776.57,1028.45,636.7,2738.73,1707.08,1456.56
731.74,633.62,998.2,635.73,925.24,1405.35,1522.92
430.94,321.22,1026,635.06,1730.09,1076.31,1524.01
379.76,439.98,716.79,636.6,1777.73,1143.77,1412.41
638.57,406.57,773.46,635.24,1147.83,719.44,1412.41
635.63,381.36,781.59,635.5,1147.62,723.12,1310.28
194.93,268.41,822.01,635.84,1147.42,726.01,1412.3
104.13,163.05,343.32,552.55,931.21,598.55,1248.96
82.26,199.12,392.71,347.8,626.69,397.75,495.92
333.36,158.82,479.43,390.27,931.18,628.48,718.97
197.8,291.56,642.32,503.09,1017.61,677.28,1037.61
229.87,259.64,399.8,374.64,668.84,423.63,525.13
152.18,201.47,309.2,323.42,584.21,369.76,501.45
159.01,200.49,309.19,327.92,583.3,371.54,464.15
110.95,163.03,272.09,236.24,451.97,275.35,372.35
405.84,188.5,386,330.35,669.22,437.4,464.83
36.37,24.49,201.96,174.37,624.89,422.87,519.34
126.02,290.62,446.55,396.55,756.3,487.5,735.63
633.05,546.92,824.87,563.67,969.68,620.01,781.1
743.94,779.61,1012.56,632.3,516.7,319.04,769.61
161.16,454.72,602.05,636.39,1984.7,1282.93,1304.14
642.67,690.49,1033.77,632.94,1506.51,978.64,1315.32
629.04,424.84,984.69,636.24,1505.08,972.21,1246.27
626.6,415.66,768.9,636.34,1186.6,751.76,891.62
342.31,425.29,820.15,635.69,1143.79,726.12,781.93
632.76,440.5,836.03,635.49,1143.59,726.13,1086.91
629.61,352.06,832.55,635.14,1207.49,772.38,867.73
361.52,319.17,731.93,634.35,1143.19,726.14,780.03
301.85,239.02,395.39,569.24,969.3,623.9,724.97
303.13,318.36,675.17,537.65,992.15,649.92,749.28
312.34,376.97,590.43,513.02,948.86,621.75,795.21
522.93,374.48,830.49,617.64,64.86,37.4,660.69
0,45.92,69.89,193.54,296.52,171.77,604.11
628.32,508.49,826.62,624.43,2024.15,1310,1412.41
267.13,379.99,757.93,567.7,1461.04,950.99,1394.73
403.85,291.91,500.85,566.42,1010.15,655.79,1073.02
0,147.06,231.09,330.84,603,384.03,442.62
79.32,157.65,266.1,215.75,426.01,259.06,483.95
207.39,221.16,490.37,397.36,818.18,539.41,621.3
46.26,211.28,386.84,336.55,620.82,392.16,645.14
329.65,299.09,471.11,450.94,796.59,510.95,1048.98
284.34,328.32,512.32,488.39,859.8,558.04,709.21
255.17,288.47,704.29,554.35,967.7,626.19,881.03
336.06,162.07,247.41,324.49,600.22,382.2,623.56
382.33,407.47,660.58,618.3,1142.41,731.14,876.88
0,90.32,827.37,624.05,1142.24,731.15,1392.9
66.3,478.77,733.97,627.81,1336.31,882.69,1264.86
498.19,419.36,828.65,635.53,1141.9,731.16,1397.56
630.19,463.79,777.26,635.04,1141.74,731.17,1088.9
445.13,371.19,734.51,634.93,1141.57,731.17,989.56
107.75,291.44,664.41,630.52,1162.85,749.23,797.86
138.67,236.3,365.1,481.48,836.12,538.12,806.18
255.17,277.91,695.93,548.54,1097.77,720.47,1016.26
88.49,249.25,391.24,456.15,797.44,516.95,927
197.72,259.58,730.31,556.33,1006.54,656.1,1083.78
162.47,149.68,239.08,394.63,705.08,456.32,558.51
155.61,222.92,472.99,385,771.32,504.99,1093.55
0,146.9,385.02,318.09,581.16,373.57,480.1
79.88,85.05,132.65,237.34,463.9,287.21,533.92
162.24,316.01,530.56,428.22,796.24,532.64,758.47
21.3,174.7,266.19,379.97,577.78,369.7,1315.3
444.5,417.58,823.83,564.71,984.65,658.82,805.45
176.76,113.54,262.19,394.24,597.72,385.28,726.3
59.39,298.35,546.45,438.91,770.19,508.59,585.58
121.91,146.37,240.13,360.45,553.94,353.94,403.9
42.34,37.3,154.18,172.1,253.24,149.23,335.08
247.03,326.77,611.48,487.4,882.38,590.7,905.91
170.49,198.98,316.73,355.23,537.28,346.96,501.13
103.43,190.26,339.04,331.64,508.56,320.68,515.25
249.24,209.48,398.52,360.67,599.11,394.31,498.04
151.68,148.52,409.3,338.51,514.06,327.39,483.57
175.47,211.95,333.3,327.35,493.94,317.47,442.33
76.13,144.01,236.64,213.47,489.59,327.2,308.4
124.2,176.75,558.16,449.25,856.76,574.13,806.83
164.22,182.84,297.62,262.5,400.88,247.42,586.02
175.47,200.13,315.32,266.56,472.88,308.35,417.94
240.68,274.44,426.37,434.03,663.5,432.54,587.6
203.99,386.41,607.19,480.39,747.74,479.66,1085.95
66.8,186.93,339.8,272.61,424.19,263.52,253.74
21.27,49.51,302.66,256.42,575.18,386.96,539.38
259.85,261.71,407.92,413.36,620.93,398.76,848.62
125.66,270.08,774.34,560.46,859.95,560.68,1003.21
21.27,94,155.95,379.77,575.76,370.13,394.03
181.89,188,442.85,365.16,598.15,389.96,439.97
62.39,123.81,195.4,275.69,423.5,263.94,602.08
145.67,281.63,433.23,358.71,641.45,424.18,464.99
65.87,100.99,348.53,405.91,619.62,400.97,757.21
286.54,397.74,695.72,554.35,941.02,621.23,978.27
115.68,191.94,301.8,446.08,683.36,442.28,621.45
