name,typ,node,maxcap,heat_rate,mincap,var_om,fix_om,st_cost,ramp,minup,mindn
Asheville_1,coal,28665,206.6,10.98257117,78.508,4.6,14462,14462,72.31,12,12
Asheville_2,coal,28665,207,11.43123832,78.66,4.6,14490,14490,72.45,12,12
BelewsCreek_1,coal,6682,1245.6,9.52960233,473.328,4.6,87192,87192,435.96,12,12
BelewsCreek_2,coal,6682,1245.6,9.143298689,473.328,4.6,87192,87192,435.96,12,12
CantonNorthCarolina_GEN8,coal,28601,7.5,10.4,2.85,4.6,525,525,2.625,12,12
CantonNorthCarolina_GEN9,coal,28601,7.5,10.4,2.85,4.6,525,525,2.625,12,12
CantonNorthCarolina_GN10,coal,28601,7.5,10.4,2.85,4.6,525,525,2.625,12,12
CantonNorthCarolina_GN11,coal,28601,7.5,10.4,2.85,4.6,525,525,2.625,12,12
CantonNorthCarolina_GN12,coal,28601,10,10.4,3.8,4.6,700,700,3.5,12,12
CantonNorthCarolina_GN13,coal,28601,12.5,10.4,4.75,4.6,875,875,4.375,12,12
EdgecombeGencoLLC_GEN1,coal,6656,57.4,122.519783,21.812,4.6,4018,4018,20.09,12,12
EdgecombeGencoLLC_GEN2,coal,6656,57.4,88.15604207,21.812,4.6,4018,4018,20.09,12,12
GGAllen_1,coal,28502,163.2,12.48385985,62.016,4.6,11424,11424,57.12,12,12
GGAllen_2,coal,28502,163.2,12.2388887,62.016,4.6,11424,11424,57.12,12,12
GGAllen_3,coal,28502,272,10.30058539,103.36,4.6,19040,19040,95.2,12,12
GGAllen_4,coal,28502,278,10.68153088,105.64,4.6,19460,19460,97.3,12,12
GGAllen_5,coal,28502,272,11.80471344,103.36,4.6,19040,19040,95.2,12,12
JamesERogersEnergyComplex_5,coal,4484,621,10.4,235.98,4.6,43470,43470,217.35,12,12
JamesERogersEnergyComplex_6,coal,4484,909.5,10.4,345.61,4.6,63665,63665,318.325,12,12
Marshall(NC)_1,coal,6669,348.5,10.42587874,132.43,4.6,24395,24395,121.975,12,12
Marshall(NC)_2,coal,6669,348.5,10.50839033,132.43,4.6,24395,24395,121.975,12,12
Marshall(NC)_3,coal,6669,711,10.08693299,270.18,4.6,49770,49770,248.85,12,12
Marshall(NC)_4,coal,6669,711,9.711744618,270.18,4.6,49770,49770,248.85,12,12
Mayo_1,coal,1834,763.2,6.953060785,290.016,4.6,53424,53424,267.12,12,12
Roxboro_1,coal,1514,410.8,11.00271788,156.104,4.6,28756,28756,143.78,12,12
Roxboro_2,coal,1514,657,9.990212347,249.66,4.6,45990,45990,229.95,12,12
Roxboro_3,coal,1514,745.2,5.121844569,283.176,4.6,52164,52164,260.82,12,12
Roxboro_4,coal,1514,745.2,6.154090406,283.176,4.6,52164,52164,260.82,12,12
UnivofNCChapelHillCogenFacility_TG3,coal,4169,28,18.92863428,10.64,4.6,1960,1960,9.8,12,12
RosemaryPowerStation_GEN3,oil,10054,54,18,20.52,2,3780,3780,54,1,1
RosemaryPowerStation_GEN1,oil,10054,86,18,32.68,2,6020,6020,86,1,1
RosemaryPowerStation_GEN2,oil,10054,40,18,15.2,2,2800,2800,40,1,1
Blewett_GT1,oil,29024,17.5,2106.741849,6.65,2,1225,1225,17.5,1,1
Blewett_GT2,oil,29024,17.5,3291.784121,6.65,2,1225,1225,17.5,1,1
Blewett_GT3,oil,29024,17.5,3291.784121,6.65,2,1225,1225,17.5,1,1
