,name,node,cap
0,HawRiverHydro,1851,1.5
1,RoanokeRapids,2416,100.0
2,HighShoalsHydroNC,4517,1.8
3,Gaston,6131,177.6
4,HighRockHydro,6685,33.0
5,AvalonHydropower,7011,1.2000000000000002
6,LakeLure,15662,3.5999999999999996
7,Tillery,15691,84.0
8,FallsHydro,15692,182.2
9,JordanHydroelectricProject,29015,5.6
10,Blewett,29024,24.6
11,CowansFord,6646,350.0
12,MountainIsland,6647,60.0
13,Rhodhiss,14194,25.5
14,OxfordDam,15622,36.0
15,Bridgewater,16289,27.7
16,LookoutShoals,29021,25.799999999999997
