name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
Albemarle_oil,oil,15692,5.4,12.42424242,0.684,2,2.77,126,5.4,1,1
AnsonCountyGenerationFacility,ngct,29024,344,13.73,21.774,3.17,89,4011,344,1,1
ArcherDanielsMidlandSouthport,ngct,6676,52.5,14.95995188,6.46,3.17,28,1190,52.5,1,1
Asheville_coal,coal,28665,413,11.25,78.508,4.6,330,14462,150,12,12
Asheville_GT,ngct,28665,422,11.72316707,80.446,3.17,127,14819,422,1,1
Asheville_ST,ngcc,28665,586,8.62,38.76,3.17,330,7140,586,6,6
BelewsCreek_1,coal,6682,2490,9.32,473.328,4.6,1983,87192,435.96,12,12
Blewett_GT1,oil,29024,70,2106.741849,6.65,2,27,1225,70,1,1
BosticDeliveryNo2_1,oil,15511,1,25,0.38,2,1.5,70,1,1,1
Buck_CT,ngcc,6685,698,6.997048363,70.414,3.17,400,12971,698,6,6
ButlerWarnerGenerationPlant,ngcc,7619,303,12.8,27.74,3.17,60,5110,303,6,6
Buxton_oil,oil,13780,15,30.86979167,1.14,2,5,210,15,1,1
CantonNorthCarolina,coal,28601,37.5,10.4,2.85,4.6,15,525,20,12,12
CatawbaRiverPollutionControl_1234,oil,14301,1.3,119.5,0.494,2,2,91,1.3,1,1
CenturyLinkRegionalHQ,oil,1754,2,18,0.38,2,2,70,2,1,1
ClevelandCntyGeneratingFacility,ngct,4496,736,20.57540208,69.92,3.17,285,12880,736,1,1
CorneliusDeliveryNo1_1,oil,4098,2.2,18,0.836,2,4,154,2.2,1,1
DanRiver_CT,ngcc,7014,698,7.168874129,70.414,3.17,400,12971,698,6,6
DSMPharmaceuticals,ngct,9508,9.2,12.09,1.52,3.17,1,280,9.2,1,1
EastsideWWTP,oil,7031,5.4,9.859644737,0.684,2,3,126,5.4,1,1
EdentonGenerators,oil,6422,2.4,18,0.456,2,2,84,2.4,1,1
EdgecombeGencoLLC_GEN,coal,6656,114,88,21.812,4.6,91,4018,20.09,12,12
GastonMemorialHospital_GMH1,oil,4475,1.8,15.45454545,0.684,2,3,126,1.8,1,1
GGAllen_1,coal,28502,1148,11.5,62.016,4.6,430,11424,250,12,12
