319,2042,3484,4169,4472,4517,6586,6646,6668,6670,6671,6680,6682,6687,6906,6953,6966,7092,9412,9483,9487,9838,9862,9867,13956,15630,15690,28667,28669,28704,28771
950.9,28.3,2.2,1,15,4.2,114,2440,34.7,67.5,135,3.7,2.4,52,1.6,1.6,1.6,2,3.2,55.4,2.2,2,54,38.1,9.6,13.4,9.6,4.5,2003.2,8.4,7.2
