name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
Roxboro_1,coal,1514,410.8,11.00271788,156.104,4.6,654.2283441,28756,143.78,12,12
Roxboro_2,coal,1514,657,9.990212347,249.66,4.6,1046.319431,45990,229.95,12,12
Roxboro_3,coal,1514,745.2,5.121844569,283.176,4.6,1186.784231,52164,260.82,12,12
Roxboro_4,coal,1514,745.2,6.154090406,283.176,4.6,1186.784231,52164,260.82,12,12
Mayo_1,coal,1834,763.2,6.953060785,290.016,4.6,1215.450517,53424,267.12,12,12
UnivofNCChapelHillCogenFacility_TG3,coal,4169,28,18.92863428,10.64,4.6,3,1960,5,12,12
JamesERogersEnergyComplex_5,coal,4484,621,10.4,235.98,4.6,988.9868591,43470,217.35,12,12
JamesERogersEnergyComplex_6,coal,4484,909.5,10.4,345.61,4.6,1448.443717,63665,318.325,12,12
EdgecombeGencoLLC_GEN1,coal,6656,57.4,122.519783,21.812,4.6,91,4018,20.09,12,12
EdgecombeGencoLLC_GEN2,coal,6656,57.4,88.15604207,21.812,4.6,91,4018,20.09,12,12
Marshall_NC_1,coal,6669,348.5,10.42587874,132.43,4.6,555.0111439,24395,121.975,12,12
Marshall_NC_2,coal,6669,348.5,10.50839033,132.43,4.6,555.0111439,24395,121.975,12,12
Marshall_NC_3,coal,6669,711,10.08693299,270.18,4.6,1132.318288,49770,248.85,12,12
Marshall_NC_4,coal,6669,711,9.711744618,270.18,4.6,1132.318288,49770,248.85,12,12
BelewsCreek_1,coal,6682,1245.6,9.52960233,473.328,4.6,1983.706975,87192,435.96,12,12
BelewsCreek_2,coal,6682,1245.6,9.143298689,473.328,4.6,1983.706975,87192,435.96,12,12
GGAllen_1,coal,28502,163.2,12.48385985,62.016,4.6,259.9076577,11424,57.12,12,12
GGAllen_2,coal,28502,163.2,12.2388887,62.016,4.6,259.9076577,11424,57.12,12,12
GGAllen_3,coal,28502,272,10.30058539,103.36,4.6,433.1794294,19040,95.2,12,12
GGAllen_4,coal,28502,278,10.68153088,105.64,4.6,442.734858,19460,97.3,12,12
GGAllen_5,coal,28502,272,11.80471344,103.36,4.6,433.1794294,19040,95.2,12,12
Rowan_4,ngcc,4473,199.4,8.62,75.772,3.17,306.8562602,13958,199.4,6,6
Rowan_5,ngcc,4473,199.4,8.62,75.772,3.17,306.8562602,13958,199.4,6,6
Rowan_STG,ngcc,4473,195,8.62,74.1,3.17,306.8562602,13650,195,6,6
KingsMountainEnergyCenter_KMEC1,ngcc,4517,310.2,5.243211475,117.876,3.17,291.0348547,21714,310.2,6,6
KingsMountainEnergyCenter_KMEC2,ngcc,4517,233.7,5.243211475,88.806,3.17,386.3030035,16359,233.7,6,6
HFLeeSteamElectricPlant_1A,ngcc,6661,180,7.024506613,68.4,3.17,473.227406,12600,180,6,6
HFLeeSteamElectricPlant_1B,ngcc,6661,180,7.024506613,68.4,3.17,224.1603502,12600,180,6,6
HFLeeSteamElectricPlant_1C,ngcc,6661,180,7.024506613,68.4,3.17,224.1603502,12600,180,6,6
HFLeeSteamElectricPlant_ST1,ngcc,6661,380,7.024506613,144.4,3.17,224.1603502,26600,380,6,6
Buck_CT11,ngcc,6685,185.3,6.997048363,70.414,3.17,407.5982368,12971,185.3,6,6
